year,rank,name,character 1,character 2,show,pairs,canon,rpf
2014,13,Stydia,Stiles Stilinski,Lydia Martin,Teen Wolf,F/M,Yes,No
2014,14,Klaine,Kurt Hummel,Blaine Anderson,Glee,M/M,Yes,No
2014,15,Ziam,Zayn Malik,Liam Payne,One Direction,M/M,No,Yes
2014,16,Kimye,Kim Kardashian,Kanye West,America’s Sweethearts,F/M,Yes,Yes
2014,17,Stucky,Steve Rogers,Bucky Barnes,Marvel,M/M,No,No
2014,18,Olicity,Oliver Queen,Felicity Smoak,Arrow,F/M,Yes,No
2014,19,Phan,Daniel Howell,Phil Lester,YouTubers,M/M,No,Yes
2014,20,Swan Queen,Regina Mills,Emma Swan,Once Upon a Time,F/F,No,No
2015,1,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2015,2,Phan,Daniel Howell,Phil Lester,YouTubers,M/M,No,Yes
2015,3,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2015,4,Olicity,Oliver Queen,Felicity Smoak,Arrow,F/M,Yes,No
2015,5,Captain Swan,Captain Hook,Emma Swan,Once Upon a Time,F/M,Yes,No
2015,6,Korrasami,Avatar Korra,Asami Sato,The Legend of Korra,F/F,Yes,No
2015,7,SasuSaku,Sasuke Uchiha,Sakura Haruno,Naruto,F/M,Yes,No
2015,8,Clexa,Clarke Griffin,Commander Lexa,The 100,F/F,Yes,No
2015,9,Stucky,Steve Rogers,Bucky Barnes,Marvel,M/M,No,No
2015,10,Hollstein,Laura Hollis,Carmilla Karnstein,Carmilla,F/F,Yes,No
2015,11,Bellarke,Bellamy Blake,Clarke Griffin,The 100,F/M,No,No
2015,12,Johnlock,John Watson,Sherlock Holmes,Sherlock,M/M,No,No
2015,13,J2,Jensen Ackles,Jared Padalecki,actors,M/M,No,Yes
2015,14,Swan Queen,Regina Mills,Emma Swan,Once Upon a Time,F/F,No,No
2015,15,Ereri,Eren Jaeger,Levi Ackerman,Attack on Titan,M/M,No,No
2015,16,Sterek,Stiles Stilinski,Derek Hale,Teen Wolf,M/M,No,No
2015,17,NaruHina,Naruto Uzumaki,Hinata Hyuuga,Naruto,F/M,Yes,No
2015,18,Ziam,Zayn Malik,Liam Payne,One Direction,M/M,No,Yes
2015,19,Narry,Niall Horan,Harry Styles,One Direction,M/M,No,Yes
2015,20,Klaine,Kurt Hummel,Blaine Anderson,Glee,M/M,Yes,No
2016,1,Clexa,Clarke Griffin,Commander Lexa,The 100,F/F,Yes,No
2016,2,Phan,Daniel Howell,Phil Lester,YouTubers,M/M,No,Yes
2016,3,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2016,4,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2016,5,Malec,Magnus Bane,Alec Lightwood,Shadowhunters,M/M,Yes,No
2016,6,Klance,Keith,Lance,Voltron: Legendary Defender,M/M,No,No
2016,7,Wigetta,Willyrex,Vegetta777,YouTubers,M/M,No,Yes
2016,8,Stucky,Steve Rogers,Bucky Barnes,Marvel,M/M,No,No
2016,9,Kylux,Kylo Ren,General Hux,the Star Wars universe,M/M,No,No
2016,10,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2016,11,Camren,Camila Cabello,Lauren Jauregui,Fifth Harmony,F/F,No,Yes
2016,12,Captain Swan,Captain Hook,Emma Swan,Once Upon a Time,F/M,Yes,No
2016,13,Ladynoir,Ladybug,Cat Noir,Miraculous: Tales of Ladybug & Cat Noir,F/M,Yes,No
2016,14,SasuSaku,Sasuke Uchiha,Sakura Haruno,Naruto,F/M,Yes,No
2016,15,Stydia,Stiles Stilinski,Lydia Martin,Teen Wolf,F/M,Yes,No
2016,16,Bellarke,Bellamy Blake,Clarke Griffin,The 100,F/M,No,No
2016,17,McHanzo,Jesse McCree,Hanzo Shimada,Overwatch,M/M,No,No
2016,18,NaLu,Natsu Dragneel,Lucy Heartfilia,Fairy Tail,F/M,No,No
2016,19,Olicity,Oliver Queen,Felicity Smoak,Arrow,F/M,Yes,No
2016,20,Kagehina,Kageyama Tobio,Hinata Shouyou,Haikyuu!!,M/M,No,No
2017,1,Klance,Keith Kogane,Lance McClain,Voltron: Legendary Defender,M/M,No,No
2017,2,Malec,Magnus Bane,Alec Lightwood,Shadowhunters,M/M,Yes,No
2017,3,Victuuri,Victor Nikiforov,Yuri Katsuki,Yuri!!! on Ice,M/M,Yes,No
2017,4,Phan,Daniel Howell,Phil Lester,YouTubers,M/M,No,Yes
2017,5,Jikook,Park Jimin,Jeon Jungkook,BTS,M/M,No,Yes
2017,6,Supercorp,Kara Danvers,Lena Luthor,Supergirl,F/F,No,No
2017,7,McHanzo,Jesse McCree,Hanzo Shimada,Overwatch,M/M,No,No
2017,8,Otayuri,Otabek Altin,Yuri Plisetsky,Yuri!!! on Ice,M/M,No,No
2017,9,Sanvers,Maggie Sawyer,Alex Danvers,Supergirl,F/F,Yes,No
2017,10,Wayhaught,Waverly Earp,Nicole Haught,Wynonna Earp,F/F,Yes,No
2017,11,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2017,12,Sheith,Keith Kogane,Takashi Shirogane,Voltron: Legendary Defender,M/M,No,No
2017,13,Bughead,Betty Cooper,Jughead Jones,Riverdale,F/M,Yes,No
2017,14,Johnlock,John Watson,Sherlock Holmes,Sherlock,M/M,No,No
2017,15,Bellarke,Bellamy Blake,Clarke Griffin,The 100,F/M,No,No
2017,16,Jonerys,Jon Snow,Daenerys Targaryen,Game of Thrones,F/M,Yes,No
2017,17,SasuSaku,Sasuke Uchiha,Sakura Haruno,Naruto,F/M,Yes,No
2017,18,Camren,Camila Cabello,Lauren Jauregui,Fifth Harmony,F/F,No,Yes
2017,19,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2017,20,Drarry,Draco Malfoy,Harry Potter,the Harry Potter universe,M/M,No,No
2018,1,Klance,Keith Kogane,Lance McClain,Voltron: Legendary Defender,M/M,No,No
2018,2,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2018,3,Phan,Daniel Howell,Phil Lester,YouTubers,M/M,No,Yes
2018,4,Jikook,Park Jimin,Jeon Jungkook,BTS,M/M,No,Yes
2018,5,Sheith,Keith Kogane,Takashi Shirogane,Voltron: Legendary Defender,M/M,No,No
2018,6,Kiribaku,Kirishima Eijirou,Bakugou Katsuki,Boku No Hero Academia,M/M,No,No
2018,7,Bellarke,Bellamy Blake,Clarke Griffin,The 100,F/M,No,No
2018,8,Tododeku,Todoroki Shouto,Midoriya Izuku,Boku No Hero Academia,M/M,No,No
2018,9,Malec,Magnus Bane,Alec Lightwood,Shadowhunters,M/M,Yes,No
2018,10,Stucky,Steve Rogers,Bucky Barnes,Marvel,M/M,No,No
2018,11,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2018,12,Supercorp,Kara Danvers,Lena Luthor,Supergirl,F/F,No,No
2018,13,Choni,Cheryl Blossom,Toni Topaz,Riverdale,F/F,Yes,No
2018,14,Symbrock,Venom (symbiote),Eddie Brock,Marvel,M/M,No,No
2018,15,Wayhaught,Waverly Earp,Nicole Haught,Wynonna Earp,F/F,Yes,No
2018,16,Bakudeku,Bakugou Katsuki,Midoriya Izuku,Boku No Hero Academia,M/M,No,No
2018,17,McHanzo,Jesse McCree,Hanzo Shimada,Overwatch,M/M,No,No
2018,18,IronStrange,Iron Man,Dr. Strange,Marvel,M/M,No,No
2018,19,Taekook,Kim Taehyung,Jeon Jungkook,BTS,M/M,No,Yes
2018,20,Sprousehart,Lili Reinhart,Cole Sprouse,actors,F/M,Yes,Yes
2019,1,Ineffable Husbands,Aziraphale,Crowley,Good Omens,M/M,No,No
2019,2,Klance,Keith Kogane,Lance McClain,Voltron: Legendary Defender,M/M,No,No
2019,3,Juliantina,Juliana Valdes,Valentina Carvajal,Amar a muerte,F/F,Yes,No
2019,4,Reddie,Richie Tozier,Eddie Kaspbrak,It,M/M,No,No
2019,5,Jikook,Park Jimin,Jeon Jungkook,BTS,M/M,No,Yes
2019,6,Phan,Daniel Howell,Phil Lester,YouTubers,M/M,No,Yes
2019,7,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2019,8,Malec,Magnus Bane,Alec Lightwood,Shadowhunters,M/M,Yes,No
2019,9,Bellarke,Bellamy Blake,Clarke Griffin,The 100,F/M,No,No
2019,10,Tyrus,TJ,Cyrus,Andi Mack,M/M,Yes,No
2019,11,Gendrya,Gendry,Arya Stark,Game of Thrones,F/M,Yes,No
2019,12,Catradora,Catra,Adora,She-Ra and the Princesses of Power,F/F,Yes,No
2019,13,Supercorp,Kara Danvers,Lena Luthor,Supergirl,F/F,No,No
2019,14,Kiribaku,Kirishima Eijirou,Bakugou Katsuki,Boku No Hero Academia,M/M,No,No
2019,15,Bumbleby,Yang Xiao Long,Blake Belladonna,RWBY,F/F,Yes,No
2019,16,Stucky,Steve Rogers,Bucky Barnes,Marvel,M/M,No,No
2019,17,Jonsa,Jon Snow,Sansa Stark,Game of Thrones,F/M,No,No
2019,18,Bakudeku,Bakugou Katsuki,Midoriya Izuku,Boku No Hero Academia,M/M,No,No
2019,19,Stony,Steve Rogers,Tony Stark,Marvel,M/M,No,No
2019,20,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2020,1,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2020,2,Catradora,Catra,Adora,She-Ra and the Princesses of Power,F/F,Yes,No
2020,3,Reddie,Richie Tozier,Eddie Kaspbrak,It,M/M,No,No
2020,4,Geraskier,Geralt of Rivia,Jaskier,The Witcher,M/M,No,No
2020,5,Ineffable Husbands,Aziraphale,Crowley,Good Omens,M/M,No,No
2020,6,Zukka,Zuko,Sokka,Avatar: The Last Airbender,M/M,No,No
2020,7,Lumity,Luz Noceda,Amity Blight,The Owl House,F/F,Yes,No
2020,8,Supercorp,Kara Danvers,Lena Luthor,Supergirl,F/F,No,No
2020,9,Jikook,Park Jimin,Jeon Jungkook,BTS,M/M,No,Yes
2020,10,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2020,11,Kiribaku,Kirishima Eijirou,Bakugou Katsuki,Boku No Hero Academia,M/M,No,No
2020,12,Bumbleby,Yang Xiao Long,Blake Belladonna,RWBY,F/F,Yes,No
2020,13,Wangxian,Lan Wangji,Wei Wuxian,Mo Dao Zu Shi,M/M,Yes,No
2020,14,Jonmartin,Jonathan Sims,Martin Blackwood,The Magnus Archives,M/M,Yes,No
2020,15,Bakudeku,Bakugou Katsuki,Midoriya Izuku,Boku No Hero Academia,M/M,No,No
2020,16,Drarry,Draco Malfoy,Harry Potter,the Harry Potter universe,M/M,No,No
2020,17,Gallavich,Ian Gallagher,Mickey Milkovich,Shameless,M/M,Yes,No
2020,18,Stucky,Steve Rogers,Bucky Barnes,Marvel,M/M,No,No
2020,19,Zutara,Zuko,Katara,Avatar: The Last Airbender,F/M,No,No
2020,20,Klance,Keith,Lance,Voltron: Legendary Defender,M/M,No,No
2021,1,Destiel,Dean Winchester,Castiel,Supernatural  ,M/M,Yes,No
2021,2,Lumity,Luz Noceda,Amity Blight,The Owl House  ,F/F,Yes,No
2021,3,Sambucky,Sam Wilson,Bucky Barnes,Marvel,M/M,No,No
2021,4,Bakudeku,Bakugou Katsuki,Midoriya Izuku,Boku no Hero Academia  ,M/M,No,No
2021,5,Dreamnotfound,Dreamwastaken,GeorgeNotFound,Streamers,M/M,No,Yes
2021,6,Lokius,Loki Laufeyson,Mobius M. Mobius,Loki,M/M,No,No
2021,7,Supercorp,Kara Danvers,Lena Luthor,Supergirl ,F/F,No,No
2021,8,Buddie,Evan Buckley,Edmundo Diaz,9/1/01,M/M,No,No
2021,9,Catradora,Catra,Adora,She-Ra and the Princesses of Power ,F/F,Yes,No
2021,10,Hannigram,Hannibal Lecter,Will Graham,Hannibal ,M/M,Yes,No
2021,11,Stucky,Steve Rogers,Bucky Barnes,Marvel ,M/M,No,No
2021,12,Beauyasha,Beauregard Lionett,Yasha Nydoorin,Critical Role,F/F,Yes,No
2021,13,Renga,Reki Kyan,Langa Hasegawa,SK8 the Infinity,M/M,No,No
2021,14,Wangxian,Lan Wangji,Wei Wuxian,Mo Dao Zu Shi,M/M,Yes,No
2021,15,Jikook,Park Jimin,Jeon Jungkook,BTS,M/M,No,Yes
2021,16,Zukka,Zuko,Sokka,Avatar: The Last Airbender,M/M,No,No
2021,17,Bumbleby,Yang Xiao Long,Blake Belladonna,RWBY,F/F,Yes,No
2021,18,Jonmartin,Jonathan Sims,Martin Blackwood,The Magnus Archives,M/M,Yes,No
2021,19,Gallavich,Ian Gallagher,Mickey Milkovich,Shameless,M/M,Yes,No
2021,20,Geraskier,Geralt of Rivia,Jaskier,The Witcher ,M/M,No,No
2022,1,Byler,Will Byers,Mike Wheeler,Stranger Things,M/M,No,No
2022,2,Steddie,Steve Harrington,Eddie Munson,Stranger Things,M/M,No,No
2022,3,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2022,4,Blackbonnet,Blackbeard,Stede Bonnet,Our Flag Means Death,M/M,Yes,No
2022,5,Ronance,Robin Buckley,Nancy Wheeler,Stranger Things,F/F,No,No
2022,6,Buddie,Evan Buckley,Edmundo Diaz,9/1/01,M/M,No,No
2022,7,Lumity,Luz Noceda,Amity Blight,The Owl House,F/F,Yes,No
2022,8,Nandermo,Nandor the Relentless,Guillermo de la Cruz,What We Do In The Shadows,M/M,No,No
2022,9,Geraskier,Geralt of Rivia,Jaskier,The Witcher,M/M,No,No
2022,10,Piltover’s Finest,Caitlyn Kiramman,Vi,Arcane,F/F,Yes,No
2022,11,Hannigram,Hannibal Lecter,Will Graham,Hannibal,M/M,Yes,No
2022,12,Supercorp,Kara Danvers,Lena Luthor,Supergirl,F/F,No,No
2022,13,Ladynoir,Ladybug,Chat Noir,Miraculous: Tales of Ladybug & Cat Noir,F/M,Yes,No
2022,14,Huntlow,Hunter,Willow Park,The Owl House,F/M,Yes,No
2022,15,Adrienette,Adrien Agreste,Marinette Dupain-Cheng,Miraculous: Tales of Ladybug & Cat Noir,F/M,Yes,No
2022,16,Bakudeku,Bakugou Katsuki,Midoriya Izuku,Boku no Hero Academia,M/M,No,No
2022,17,Wangxian,Lan Wangji,Wei Wuxian,Mo Dao Zu Shi,M/M,Yes,No
2022,18,Ineffable Husbands,Aziraphale,Crowley,Good Omens,M/M,No,No
2022,19,Symbrock,Venom (symbiote),Eddie Brock,Marvel,M/M,No,No
2022,20,Dreamling,Dream of the Endless,Hob Gadling,The Sandman,M/M,No,No
